ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-DD-AACP-01A-11R-A41C-07	1.493247368	1.254775994	1.850274805	2.712538508	2.059140007	2.302608156	15.62653266	Tumor
TCGA-MI-A75E-01A-11R-A32O-07	1.252564559	1.534428534	1.53669726	1.586308288	3.144446143	2.434952635	7.787935704	Tumor
TCGA-DD-A39X-01A-11R-A213-07	1.328521259	3.138699138	1.471019111	3.09575341	1.222929229	2.934563478	18.57315752	Tumor
TCGA-DD-A4NJ-01A-11R-A27V-07	0.815537265	0.781629483	1.042610197	1.243768402	1.958635243	2.255199741	8.711673185	Tumor
TCGA-WQ-A9G7-01A-11R-A37K-07	1.689786891	2.058180119	2.210233122	3.864952547	1.8944829	4.199738837	23.44157251	Tumor
TCGA-DD-AA3A-01A-11R-A37K-07	1.079181109	1.39543127	2.379887815	2.704696347	0.403839848	3.494990796	21.46911302	Tumor
TCGA-ED-A66Y-01A-11R-A311-07	1.276799252	1.949076321	2.356758428	3.931548476	3.912212647	3.153260114	17.32327994	Tumor
TCGA-DD-AAD0-01A-11R-A41C-07	0.867391629	1.538275719	1.428751329	1.757218595	2.453155136	1.341984708	8.395858855	Tumor
TCGA-G3-A25S-01A-11R-A16W-07	1.784886967	2.1196304	1.835868421	1.78439525	1.259099701	1.901244087	12.79497931	Tumor
TCGA-2Y-A9H8-01A-11R-A39D-07	0.940830574	1.862960645	1.372680993	1.964245817	1.835558376	2.243455264	11.79763783	Tumor
TCGA-BD-A3ER-01A-11R-A213-07	1.09585975	1.522234865	1.349376142	2.014944332	2.521884609	2.377360042	10.77250555	Tumor
TCGA-CC-A7IJ-01A-11R-A33R-07	1.720677345	2.30896052	1.997683936	2.219293817	0	1.094442579	16.63981594	Tumor
TCGA-DD-A4NF-01A-11R-A27V-07	0.680211903	0.775913813	0.637511201	1.40561274	2.697050055	1.133232528	5.588236751	Tumor
TCGA-UB-A7ME-01A-11R-A33J-07	0.572954809	1.577665085	1.329083668	1.474160359	2.142151239	2.252256382	8.904132808	Tumor
TCGA-UB-AA0V-01A-11R-A38B-07	0.313991068	0.794527044	0.831505366	1.009480354	5.099917876	2.918432731	0.399081435	Tumor
TCGA-BC-A216-01A-11R-A155-07	0.588127277	1.769280486	1.18779694	2.437821334	1.961851662	2.557715254	13.57025581	Tumor
TCGA-G3-AAV1-01A-11R-A38B-07	0.298033295	1.266111502	1.273187431	1.086689251	2.97226602	1.853008995	4.663333554	Tumor
TCGA-LG-A9QD-01A-11R-A38B-07	1.53987492	1.734724296	1.202671178	1.336914245	2.213277037	2.806780481	9.246357849	Tumor
TCGA-EP-A2KB-01A-11R-A180-07	0.778540174	1.989957353	1.700194052	1.761821584	3.603294021	2.383715358	6.950537046	Tumor
TCGA-DD-AAVR-01A-11R-A41C-07	1.001513011	1.561938463	1.345923507	0.778074044	1.585480138	3.184707975	8.876410038	Tumor
TCGA-DD-AAEK-01A-11R-A41C-07	0.937638474	0.893169983	1.069196174	1.517507632	2.732349734	2.328779748	8.095037269	Tumor
TCGA-UB-A7MC-01A-11R-A33R-07	0.662219901	1.734017779	1.949118435	1.231585275	2.622533535	1.728915798	6.572691879	Tumor
TCGA-CC-A9FS-01A-11R-A37K-07	1.073363228	1.741768271	2.224685541	0.903274807	4.034283613	1.635443191	2.106583592	Tumor
TCGA-UB-A7MB-01A-11R-A33R-07	1.31756068	2.012845763	1.657077936	1.793434424	1.521327977	0.674708389	10.14684083	Tumor
TCGA-DD-A73C-01A-12R-A33J-07	0.501075404	1.112465269	0.221440758	1.439286937	3.022034099	1.563093043	4.799005866	Tumor
TCGA-DD-A4NI-01A-11R-A27V-07	0.417091547	1.105117949	0.746861952	0.293520281	3.472710156	1.810209869	-0.318388623	Tumor
TCGA-DD-AAW0-01A-11R-A41C-07	0.70816044	1.422290942	1.455032593	1.343359918	3.194335935	1.813483327	5.472222754	Tumor
